Invoice Number,Vendor,Amount
INV-000001,Cyberdyne Systems,858.62
INV-000002,Massive Dynamic,396.08
INV-000003,Globex,514.84
INV-000004,Stark Industries,173.80
INV-000005,Soylent Corp,775.98
INV-000006,Cyberdyne Systems,662.02
INV-000007,Massive Dynamic,229.00
INV-000008,Massive Dynamic,594.39
INV-000009,Stark Industries,802.90
INV-000010,Soylent Corp,747.94
INV-000011,Massive Dynamic,-76.89
INV-000012,Globex,117.57
INV-000013,Stark Industries,114.46
INV-000014,,237.30
INV-000015,Initech,920.07
INV-000016,Massive Dynamic,712.71
INV-000017,Wayne Enterprises,322.34
INV-000018,Soylent Corp,800.48
INV-000019,Massive Dynamic,614.38
INV-000020,Initech,154.29
INV-000021,Soylent Corp,340.65
INV-000022,Acme Corp,944.13
INV-000023,Cyberdyne Systems,872.11
INV-000024,Cyberdyne Systems,-489.83
INV-000025,Initech,47.50
INV-000026,Massive Dynamic,670.06
INV-000027,Wayne Enterprises,672.78
INV-000028,Soylent Corp,746.24
INV-000029,Massive Dynamic,979.50
INV-000030,Acme Corp,124.90
INV-000031,Wayne Enterprises,778.17
INV-000032,Massive Dynamic,773.78
INV-000033,Soylent Corp,-429.87
INV-000034,Globex,793.26
INV-000035,Globex,787.56
INV-000036,Acme Corp,348.08
INV-000037,Globex,285.13
INV-000038,Wayne Enterprises,877.57
INV-000039,Globex,725.33
INV-000040,Acme Corp,653.40
INV-000041,Acme Corp,958.20
INV-000042,Soylent Corp,347.73
INV-000043,Acme Corp,760.11
INV-000044,Soylent Corp,432.45
INV-000045,,454.10
INV-000046,Globex,1005.01
INV-000047,Acme Corp,165.03
INV-000048,Soylent Corp,11.26
INV-000049,Initech,267.99
INV-000050,Stark Industries,193.08
INV-000051,Wayne Enterprises,107.95
INV-000052,Acme Corp,517.96
INV-000053,Wayne Enterprises,761.93
INV-000054,Wayne Enterprises,726.59
INV-000055,Initech,953.79
INV-000056,Initech,472.65
INV-000057,Wayne Enterprises,666.23
INV-000058,Stark Industries,368.95
INV-000059,Cyberdyne Systems,340.74
INV-000060,Globex,268.65
INV-000061,Acme Corp,362.58
INV-000062,Cyberdyne Systems,122.18
INV-000063,Massive Dynamic,964.71
INV-000064,Cyberdyne Systems,431.16
INV-000065,Soylent Corp,93.10
INV-000066,Cyberdyne Systems,460.39
INV-000067,Acme Corp,846.59
INV-000068,Acme Corp,700.96
INV-000069,Wayne Enterprises,689.25
INV-000070,Acme Corp,862.89
INV-000071,Wayne Enterprises,993.89
INV-000072,Acme Corp,280.60
INV-000073,Cyberdyne Systems,31.75
INV-000074,Initech,216.33
INV-000075,Soylent Corp,480.94
INV-000076,Globex,403.51
INV-000077,Globex,913.02
INV-000078,Globex,896.24
INV-000079,Globex,48.90
INV-000080,Acme Corp,800.91
INV-000081,Massive Dynamic,736.02
INV-000082,Acme Corp,417.74
INV-000083,Stark Industries,901.98
INV-000084,Soylent Corp,828.00
INV-000085,Wayne Enterprises,768.94
INV-000086,Acme Corp,48.13
INV-000087,Cyberdyne Systems,473.84
INV-000088,Massive Dynamic,327.47
INV-000089,Massive Dynamic,56.02
INV-000090,Wayne Enterprises,762.21
INV-000091,Globex,515.56
INV-000092,Initech,743.78
INV-000093,Soylent Corp,650.00
INV-000094,Stark Industries,567.13
INV-000095,Massive Dynamic,-404.18
INV-000096,Stark Industries,460.71
INV-000097,Initech,903.57
INV-000098,Soylent Corp,728.83
INV-000099,Stark Industries,98.18
INV-000100,Acme Corp,418.03
INV-000101,Globex,627.86
INV-000102,,418.07
INV-000103,Initech,849.42
INV-000104,Soylent Corp,605.59
INV-000105,Initech,122.84
INV-000106,Stark Industries,598.05
INV-000107,Massive Dynamic,602.82
INV-000108,Stark Industries,503.62
INV-000109,Acme Corp,100.75
INV-000110,Soylent Corp,551.63
INV-000111,Wayne Enterprises,117.80
INV-000112,,165.35
INV-000113,Acme Corp,470.85
INV-000114,Stark Industries,989.02
INV-000115,Wayne Enterprises,238.16
INV-000116,Acme Corp,490.28
INV-000117,Soylent Corp,388.76
INV-000118,Acme Corp,477.72
INV-000119,Initech,788.89
INV-000120,Initech,773.50
INV-000121,Acme Corp,170.83
INV-000122,Cyberdyne Systems,39.42
INV-000123,Acme Corp,612.68
INV-000124,Globex,505.04
INV-000125,Cyberdyne Systems,-38.17
INV-000126,,648.32
INV-000127,Soylent Corp,449.94
INV-000128,Stark Industries,-80.35
INV-000129,Massive Dynamic,354.98
INV-000130,Acme Corp,985.66
INV-000131,Wayne Enterprises,523.32
INV-000132,Initech,427.02
INV-000133,Wayne Enterprises,459.98
INV-000134,Wayne Enterprises,348.10
INV-000135,Initech,967.82
INV-000136,Soylent Corp,-252.77
INV-000137,Globex,570.17
INV-000138,Soylent Corp,36.00
INV-000139,Wayne Enterprises,-411.27
INV-000140,Stark Industries,29.89
INV-000141,Initech,238.08
INV-000142,Stark Industries,723.17
INV-000143,Acme Corp,971.62
INV-000144,Acme Corp,357.39
INV-000145,Massive Dynamic,433.69
INV-000146,Massive Dynamic,194.56
INV-000147,Wayne Enterprises,565.95
INV-000148,Soylent Corp,747.47
INV-000149,Cyberdyne Systems,695.59
INV-000150,Initech,855.80
INV-000151,Globex,793.65
INV-000152,Initech,310.56
INV-000153,Acme Corp,755.93
INV-000154,Globex,515.06
INV-000155,Cyberdyne Systems,531.76
INV-000156,Massive Dynamic,-6.14
INV-000157,Acme Corp,162.61
INV-000158,Cyberdyne Systems,263.26
INV-000159,Soylent Corp,841.82
INV-000160,Globex,279.37
INV-000161,Initech,10.87
INV-000162,Massive Dynamic,485.85
INV-000163,Cyberdyne Systems,874.66
INV-000164,Soylent Corp,353.89
INV-000165,Globex,273.64
INV-000166,Initech,865.74
INV-000167,Soylent Corp,230.30
INV-000168,Initech,801.18
INV-000169,Soylent Corp,647.09
INV-000170,Massive Dynamic,91.28
INV-000171,Cyberdyne Systems,677.02
INV-000172,Wayne Enterprises,375.03
INV-000173,Cyberdyne Systems,445.38
INV-000174,Soylent Corp,348.80
INV-000175,Globex,-207.04
INV-000176,Wayne Enterprises,884.26
INV-000177,Globex,497.95
INV-000178,Stark Industries,715.39
INV-000179,Wayne Enterprises,480.16
INV-000180,Globex,622.66
INV-000181,Massive Dynamic,421.34
INV-000182,Soylent Corp,688.29
INV-000183,Initech,832.24
